generations: 1000
Best solution:
100001111010111000110101110101101011110010111001111011110000100001100010010101111110111110001001101100010001110100100101100100011001100011011110001100100111 -18838488.079026256
-18838488.079026256
Average: -2652299.525557	Std Deviation: 3608317.779750
Generation #288:	-18837082.070524
Generation #289:	-18837082.070524
Generation #290:	-18837082.070524
Generation #291:	-18837082.070524
Generation #292:	-18837082.070524
Generation #293:	-18837238.430781
Generation #294:	-18837238.430781
Generation #295:	-18837238.430781
Generation #296:	-18837251.108168
Generation #297:	-18837251.108168
Generation #298:	-18837251.108168
Generation #299:	-18837251.108168
Generation #300:	-18837251.108168
Generation #301:	-18837251.108168
Generation #302:	-18837251.108168
Generation #303:	-18837284.384946
Generation #304:	-18837284.384946
Generation #305:	-18837284.384946
Generation #306:	-18837284.384946
Generation #307:	-18837284.384946
Generation #308:	-18837284.384946
Generation #309:	-18837284.384946
Generation #310:	-18837284.384946
Generation #311:	-18837284.384946
Generation #312:	-18837284.384946
Generation #313:	-18837284.384946
Generation #314:	-18837284.384946
Generation #315:	-18837284.384946
Generation #316:	-18837284.384946
Generation #317:	-18837284.384946
Generation #318:	-18837284.384946
Generation #319:	-18837284.384946
Generation #320:	-18837284.384946
Generation #321:	-18837284.384946
Generation #322:	-18837284.384946
Generation #323:	-18837284.384946
Generation #324:	-18837284.384946
Generation #325:	-18837284.384946
Generation #326:	-18837284.384946
Generation #327:	-18837284.384946
Generation #328:	-18837284.384946
Generation #329:	-18837300.558382
Generation #330:	-18837300.558382
Generation #331:	-18837300.558382
Generation #332:	-18837300.558382
Generation #333:	-18837300.558382
Generation #334:	-18837300.558382
Generation #335:	-18837300.558382
Generation #336:	-18837300.558382
Generation #337:	-18837300.558382
Generation #338:	-18837300.558382
Generation #339:	-18837300.558382
Generation #340:	-18837300.558382
Generation #341:	-18837300.558382
Generation #342:	-18837300.558382
Generation #343:	-18837300.558382
Generation #344:	-18837300.558382
Generation #345:	-18837300.558382
Generation #346:	-18837300.558382
Generation #347:	-18837394.826892
Generation #348:	-18837394.826892
Generation #349:	-18837394.826892
Generation #350:	-18837394.826892
Generation #351:	-18837524.812111
Generation #352:	-18837524.812111
Generation #353:	-18837524.812111
Generation #354:	-18837524.812111
Generation #355:	-18837524.812111
Generation #356:	-18837524.812111
Generation #357:	-18837524.812111
Generation #358:	-18837524.812111
Generation #359:	-18837524.812111
Generation #360:	-18837524.812111
Generation #361:	-18837524.812111
Generation #362:	-18837524.812111
Generation #363:	-18837524.812111
Generation #364:	-18837524.812111
Generation #365:	-18837524.812111
Generation #366:	-18837524.812111
Generation #367:	-18837524.812111
Generation #368:	-18837524.812111
Generation #369:	-18837524.812111
Generation #370:	-18837524.812111
Generation #371:	-18837524.812111
Generation #372:	-18837554.210348
Generation #373:	-18837554.210348
Generation #374:	-18837554.210348
Generation #375:	-18837554.210348
Generation #376:	-18837554.210348
Generation #377:	-18837554.210348
Generation #378:	-18837554.210348
Generation #379:	-18837554.210348
Generation #380:	-18837554.210348
Generation #381:	-18837554.210348
Generation #382:	-18837554.210348
Generation #383:	-18837554.210348
Generation #384:	-18837554.210348
Generation #385:	-18837554.210348
Generation #386:	-18837554.210348
Generation #387:	-18837554.210348
Generation #388:	-18837554.210348
Generation #389:	-18837554.210348
Generation #390:	-18837554.210348
Generation #391:	-18837554.210348
Generation #392:	-18837554.210348
Generation #393:	-18837554.210348
Generation #394:	-18837554.210348
Generation #395:	-18837554.210348
Generation #396:	-18837554.210348
Generation #397:	-18837554.210348
Generation #398:	-18837554.210348
Generation #399:	-18837554.210348
Generation #400:	-18837554.210348
Generation #401:	-18837554.210348
Generation #402:	-18837554.210348
Generation #403:	-18837554.210348
Generation #404:	-18837554.210348
Generation #405:	-18837554.210348
Generation #406:	-18837554.210348
Generation #407:	-18837554.210348
Generation #408:	-18837554.210348
Generation #409:	-18837554.210348
Generation #410:	-18837554.210348
Generation #411:	-18837554.210348
Generation #412:	-18837554.210348
Generation #413:	-18837554.210348
Generation #414:	-18837554.210348
Generation #415:	-18837554.210348
Generation #416:	-18837554.210348
Generation #417:	-18837554.210348
Generation #418:	-18837554.210348
Generation #419:	-18837554.210348
Generation #420:	-18837554.210348
Generation #421:	-18837554.210348
Generation #422:	-18837554.210348
Generation #423:	-18837554.210348
Generation #424:	-18837554.210348
Generation #425:	-18837554.210348
Generation #426:	-18837554.210348
Generation #427:	-18837554.210348
Generation #428:	-18837554.210348
Generation #429:	-18837554.210348
Generation #430:	-18837554.210348
Generation #431:	-18837554.210348
Generation #432:	-18837554.210348
Generation #433:	-18837554.210348
Generation #434:	-18837554.210348
Generation #435:	-18837554.210348
Generation #436:	-18837554.210348
Generation #437:	-18837554.210348
Generation #438:	-18837554.210348
Generation #439:	-18837554.210348
Generation #440:	-18837554.210348
Generation #441:	-18837554.210348
Generation #442:	-18837554.210348
Generation #443:	-18837554.210348
Generation #444:	-18837554.210348
Generation #445:	-18837554.210348
Generation #446:	-18837554.210348
Generation #447:	-18837554.210348
Generation #448:	-18837554.210348
Generation #449:	-18837554.210348
Generation #450:	-18837554.210348
Generation #451:	-18837554.210348
Generation #452:	-18837554.210348
Generation #453:	-18837554.210348
Generation #454:	-18837554.210348
Generation #455:	-18837554.210348
Generation #456:	-18837554.210348
Generation #457:	-18837554.210348
Generation #458:	-18837554.210348
Generation #459:	-18837554.210348
Generation #460:	-18837554.210348
Generation #461:	-18837554.210348
Generation #462:	-18837554.210348
Generation #463:	-18837554.210348
Generation #464:	-18837554.210348
Generation #465:	-18837554.210348
Generation #466:	-18837554.210348
Generation #467:	-18837554.210348
Generation #468:	-18837554.210348
Generation #469:	-18837554.210348
Generation #470:	-18837554.210348
Generation #471:	-18837554.210348
Generation #472:	-18837554.210348
Generation #473:	-18837554.210348
Generation #474:	-18837554.210348
Generation #475:	-18837554.210348
Generation #476:	-18837554.210348
Generation #477:	-18837554.210348
Generation #478:	-18837554.210348
Generation #479:	-18837554.210348
Generation #480:	-18837554.210348
Generation #481:	-18837554.210348
Generation #482:	-18837554.210348
Generation #483:	-18837554.210348
Generation #484:	-18837554.210348
Generation #485:	-18837554.210348
Generation #486:	-18837554.210348
Generation #487:	-18837554.210348
Generation #488:	-18837554.210348
Generation #489:	-18837554.210348
Generation #490:	-18837554.210348
Generation #491:	-18837554.210348
Generation #492:	-18837554.210348
Generation #493:	-18837554.210348
Generation #494:	-18837554.210348
Generation #495:	-18837554.210348
Generation #496:	-18837554.210348
Generation #497:	-18837554.210348
Generation #498:	-18837554.210348
Generation #499:	-18837554.210348
Generation #500:	-18837554.210348
Generation #501:	-18837554.210348
Generation #502:	-18837554.210348
Generation #503:	-18837554.210348
Generation #504:	-18837554.210348
Generation #505:	-18837554.210348
Generation #506:	-18837554.210348
Generation #507:	-18837554.210348
Generation #508:	-18837554.210348
Generation #509:	-18837554.210348
Generation #510:	-18837554.210348
Generation #511:	-18837554.210348
Generation #512:	-18837554.210348
Generation #513:	-18837554.210348
Generation #514:	-18837636.081697
Generation #515:	-18837636.081697
Generation #516:	-18837636.081697
Generation #517:	-18837636.081697
Generation #518:	-18837640.342896
Generation #519:	-18837640.342896
Generation #520:	-18837667.953085
Generation #521:	-18837727.886647
Generation #522:	-18837727.886647
Generation #523:	-18837727.886647
Generation #524:	-18837727.886647
Generation #525:	-18837727.886647
Generation #526:	-18837727.886647
Generation #527:	-18837727.886647
Generation #528:	-18837727.886647
Generation #529:	-18837727.886647
Generation #530:	-18837727.886647
Generation #531:	-18837727.886647
Generation #532:	-18837727.886647
Generation #533:	-18837727.886647
Generation #534:	-18837727.886647
Generation #535:	-18837727.886647
Generation #536:	-18837727.886647
Generation #537:	-18837727.886647
Generation #538:	-18837727.886647
Generation #539:	-18837727.886647
Generation #540:	-18837727.886647
Generation #541:	-18837727.886647
Generation #542:	-18837727.886647
Generation #543:	-18837727.886647
Generation #544:	-18837727.886647
Generation #545:	-18837727.886647
Generation #546:	-18837727.886647
Generation #547:	-18837727.886647
Generation #548:	-18837727.886647
Generation #549:	-18837727.886647
Generation #550:	-18837727.886647
Generation #551:	-18837727.886647
Generation #552:	-18837727.886647
Generation #553:	-18837727.886647
Generation #554:	-18837727.886647
Generation #555:	-18837727.886647
Generation #556:	-18837727.886647
Generation #557:	-18837727.886647
Generation #558:	-18837727.886647
Generation #559:	-18837727.886647
Generation #560:	-18837727.886647
Generation #561:	-18837727.886647
Generation #562:	-18837727.886647
Generation #563:	-18837727.886647
Generation #564:	-18837727.886647
